127.0.0.1 - - [20/Apr/2016:17:06:08 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:16 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=jfirrelli%40classicmodelcars.com&password=admin3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:16 -0700] "GET /CloudProjectBasic/ConsoleEmployeeHome.jsp HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:16 -0700] "GET /CloudProjectBasic/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:16 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:16 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:16 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:21 -0700] "GET /CloudProjectBasic/ConsoleEmployeeDetailsController HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:21 -0700] "GET /CloudProjectBasic/css/font-awesome.min.css%22 HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:21 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:21 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:21 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:16:49 -0700] "GET /Home_page.html HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:05 -0700] "GET /cloudprojectbasic/Home_page.html HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:26 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=wpatterson%40classicmodelcars.com&password=manager1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:26 -0700] "GET /CloudProjectBasic/ConsoleEmployeeHome.jsp HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:26 -0700] "GET /CloudProjectBasic/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:26 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:26 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:27 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:30 -0700] "GET /CloudProjectBasic/ConsoleEmployeeDetailsController HTTP/1.1" 200 5226
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:30 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:30 -0700] "GET /CloudProjectBasic/css/font-awesome.min.css%22 HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:30 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:17:30 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:13 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:13 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:18 -0700] "GET /CloudProjectBasic/EmployeeLogin.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:19 -0700] "GET /CloudProjectBasic/form/css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:19 -0700] "GET /CloudProjectBasic/js/index.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:40 -0700] "GET /CloudProjectBasic/AppLoginController?user=appProv&username=wpatterson%40classicmodelcars.com&password=manager1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:40 -0700] "GET /CloudProjectBasic/ConsoleEmployeeHome.jsp HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:40 -0700] "GET /CloudProjectBasic/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:40 -0700] "GET /CloudProjectBasic/js/jquery.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:40 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/Apr/2016:17:18:40 -0700] "GET /CloudProjectBasic/js/bootstrap.min.js HTTP/1.1" 404 1068
